"","X_id","beachId","beachName","siteName","collectionDate","eColi","comments","geometry"
"38",38,1,"Marie Curtis Park East Beach","33W","2024-09-05",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"39",39,1,"Marie Curtis Park East Beach","32W","2024-09-05",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"40",40,1,"Marie Curtis Park East Beach","31W","2024-09-05",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"41",41,1,"Marie Curtis Park East Beach","30W","2024-09-05",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"42",42,2,"Sunnyside Beach","23W","2024-09-05",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"43",43,2,"Sunnyside Beach","18W","2024-09-05",10,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"44",44,2,"Sunnyside Beach","17W","2024-09-05",10,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"45",45,2,"Sunnyside Beach","20W","2024-09-05",80,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"46",46,2,"Sunnyside Beach","21W","2024-09-05",210,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"47",47,2,"Sunnyside Beach","19W","2024-09-05",10,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"48",48,2,"Sunnyside Beach","22W","2024-09-05",10,"<","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"49",49,1,"Marie Curtis Park East Beach","29W","2024-09-04",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"50",50,1,"Marie Curtis Park East Beach","33W","2024-09-04",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"51",51,1,"Marie Curtis Park East Beach","32W","2024-09-04",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"52",52,1,"Marie Curtis Park East Beach","31W","2024-09-04",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"53",53,1,"Marie Curtis Park East Beach","30W","2024-09-04",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"54",54,2,"Sunnyside Beach","23W","2024-09-04",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"55",55,2,"Sunnyside Beach","18W","2024-09-04",750,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"56",56,2,"Sunnyside Beach","17W","2024-09-04",700,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"57",57,2,"Sunnyside Beach","20W","2024-09-04",780,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"58",58,2,"Sunnyside Beach","21W","2024-09-04",770,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"59",59,2,"Sunnyside Beach","19W","2024-09-04",780,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"60",60,2,"Sunnyside Beach","22W","2024-09-04",750,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"61",61,1,"Marie Curtis Park East Beach","29W","2024-09-03",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"62",62,1,"Marie Curtis Park East Beach","33W","2024-09-03",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"63",63,1,"Marie Curtis Park East Beach","32W","2024-09-03",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"64",64,1,"Marie Curtis Park East Beach","31W","2024-09-03",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"65",65,1,"Marie Curtis Park East Beach","30W","2024-09-03",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"66",66,2,"Sunnyside Beach","23W","2024-09-03",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"67",67,2,"Sunnyside Beach","18W","2024-09-03",1000,">","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"68",68,2,"Sunnyside Beach","17W","2024-09-03",1000,">","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"69",69,2,"Sunnyside Beach","20W","2024-09-03",1000,">","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"70",70,2,"Sunnyside Beach","21W","2024-09-03",1000,">","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"71",71,2,"Sunnyside Beach","19W","2024-09-03",1000,">","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"72",72,2,"Sunnyside Beach","22W","2024-09-03",1000,">","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"73",73,1,"Marie Curtis Park East Beach","29W","2024-09-02",110,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"74",74,1,"Marie Curtis Park East Beach","33W","2024-09-02",110,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"75",75,1,"Marie Curtis Park East Beach","32W","2024-09-02",60,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"76",76,1,"Marie Curtis Park East Beach","31W","2024-09-02",100,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"77",77,1,"Marie Curtis Park East Beach","30W","2024-09-02",70,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
